"time" "cases"
"1" 1 2047
"2" 2 997
"3" 3 494
"4" 4 1004
"5" 5 2862
"6" 6 2006
"7" 7 815
"8" 8 402
"9" 9 934
"10" 10 2581
"11" 11 2278
"12" 12 1030
"13" 13 555
"14" 14 1073
"15" 15 2837
"16" 16 2433
"17" 17 971
"18" 18 490
"19" 19 752
"20" 20 2396
"21" 21 2409
"22" 22 882
"23" 23 363
"24" 24 837
"25" 25 3101
"26" 26 2107
"27" 27 1148
"28" 28 445
"29" 29 991
"30" 30 2853
"31" 31 2728
"32" 32 995
"33" 33 445
"34" 34 1113
"35" 35 2632
"36" 36 2409
"37" 37 1043
"38" 38 544
"39" 39 1063
"40" 40 2359
"41" 41 2352
"42" 42 1114
"43" 43 545
"44" 44 884
"45" 45 2582
"46" 46 1975
"47" 47 1193
"48" 48 497
"49" 49 898
"50" 50 2653
