"time" "cases"
"1" 1 2274
"2" 2 1007
"3" 3 477
"4" 4 1012
"5" 5 3167
"6" 6 2708
"7" 7 1164
"8" 8 509
"9" 9 940
"10" 10 2842
"11" 11 1953
"12" 12 837
"13" 13 489
"14" 14 957
"15" 15 3185
"16" 16 1901
"17" 17 950
"18" 18 677
"19" 19 1096
"20" 20 2447
"21" 21 2499
"22" 22 1102
"23" 23 441
"24" 24 1044
"25" 25 2564
"26" 26 2305
"27" 27 1095
"28" 28 427
"29" 29 832
"30" 30 3004
"31" 31 2777
"32" 32 939
"33" 33 475
"34" 34 851
"35" 35 2281
"36" 36 2130
"37" 37 883
"38" 38 491
"39" 39 998
"40" 40 3279
"41" 41 2140
"42" 42 782
"43" 43 583
"44" 44 1057
"45" 45 2876
"46" 46 2299
"47" 47 1049
"48" 48 511
"49" 49 856
"50" 50 2306
