"time" "cases"
"1" 1 2224
"2" 2 931
"3" 3 533
"4" 4 946
"5" 5 2532
"6" 6 2290
"7" 7 1091
"8" 8 632
"9" 9 823
"10" 10 2664
"11" 11 2685
"12" 12 997
"13" 13 500
"14" 14 873
"15" 15 2854
"16" 16 2325
"17" 17 1064
"18" 18 510
"19" 19 819
"20" 20 2852
"21" 21 2093
"22" 22 1273
"23" 23 487
"24" 24 874
"25" 25 3249
"26" 26 2105
"27" 27 1054
"28" 28 505
"29" 29 1013
"30" 30 2524
"31" 31 2435
"32" 32 977
"33" 33 526
"34" 34 866
"35" 35 2613
"36" 36 2259
"37" 37 1123
"38" 38 521
"39" 39 996
"40" 40 2733
"41" 41 2380
"42" 42 1091
"43" 43 435
"44" 44 963
"45" 45 2470
"46" 46 2357
"47" 47 967
"48" 48 424
"49" 49 1027
"50" 50 2586
