"time" "cases"
"1" 1 1655
"2" 2 1155
"3" 3 1535
"4" 4 1530
"5" 5 1582
"6" 6 1514
"7" 7 1528
"8" 8 1973
"9" 9 1382
"10" 10 1568
"11" 11 1330
"12" 12 1533
"13" 13 1681
"14" 14 1291
"15" 15 1714
"16" 16 1680
"17" 17 1483
"18" 18 1106
"19" 19 1420
"20" 20 1620
"21" 21 1494
"22" 22 1588
"23" 23 1604
"24" 24 1300
"25" 25 1699
"26" 26 1802
"27" 27 1410
"28" 28 1481
"29" 29 1739
"30" 30 1333
"31" 31 1607
"32" 32 1633
"33" 33 1764
"34" 34 1512
"35" 35 1705
"36" 36 1613
"37" 37 1780
"38" 38 1628
"39" 39 1506
"40" 40 1369
"41" 41 1457
"42" 42 1642
"43" 43 1961
"44" 44 1544
"45" 45 1474
"46" 46 1449
"47" 47 1296
"48" 48 1713
"49" 49 1689
"50" 50 1409
