"time" "cases"
"1" 1 1596
"2" 2 1378
"3" 3 1464
"4" 4 1330
"5" 5 1480
"6" 6 1461
"7" 7 1537
"8" 8 1678
"9" 9 1628
"10" 10 1512
"11" 11 1193
"12" 12 1372
"13" 13 1562
"14" 14 1470
"15" 15 1847
"16" 16 1485
"17" 17 1438
"18" 18 1756
"19" 19 1362
"20" 20 1746
"21" 21 1728
"22" 22 1271
"23" 23 1795
"24" 24 1343
"25" 25 1289
"26" 26 1564
"27" 27 1775
"28" 28 1368
"29" 29 1423
"30" 30 1268
"31" 31 1208
"32" 32 1303
"33" 33 1606
"34" 34 1365
"35" 35 1472
"36" 36 1399
"37" 37 1464
"38" 38 1351
"39" 39 1674
"40" 40 1296
"41" 41 1390
"42" 42 1552
"43" 43 1778
"44" 44 1386
"45" 45 1396
"46" 46 1851
"47" 47 1368
"48" 48 1475
"49" 49 1418
"50" 50 1325
