"time" "cases"
"1" 1 1696
"2" 2 1620
"3" 3 1612
"4" 4 1773
"5" 5 1486
"6" 6 1590
"7" 7 1930
"8" 8 1308
"9" 9 1354
"10" 10 1412
"11" 11 1457
"12" 12 1491
"13" 13 1688
"14" 14 1708
"15" 15 1691
"16" 16 1581
"17" 17 1365
"18" 18 1626
"19" 19 1577
"20" 20 1394
"21" 21 1690
"22" 22 1469
"23" 23 1430
"24" 24 1359
"25" 25 1554
"26" 26 1460
"27" 27 1445
"28" 28 1354
"29" 29 1663
"30" 30 1807
"31" 31 1740
"32" 32 1546
"33" 33 1802
"34" 34 1657
"35" 35 1368
"36" 36 1282
"37" 37 1683
"38" 38 1384
"39" 39 1450
"40" 40 1493
"41" 41 1532
"42" 42 1365
"43" 43 1797
"44" 44 1704
"45" 45 1544
"46" 46 1565
"47" 47 1558
"48" 48 1654
"49" 49 1438
"50" 50 1542
