"time" "cases"
"1" 1 2416
"2" 2 1274
"3" 3 539
"4" 4 944
"5" 5 2386
"6" 6 2367
"7" 7 1157
"8" 8 446
"9" 9 972
"10" 10 2425
"11" 11 2316
"12" 12 941
"13" 13 470
"14" 14 697
"15" 15 3005
"16" 16 2436
"17" 17 1025
"18" 18 361
"19" 19 820
"20" 20 2438
"21" 21 2509
"22" 22 908
"23" 23 493
"24" 24 900
"25" 25 2431
"26" 26 2713
"27" 27 1208
"28" 28 533
"29" 29 780
"30" 30 2922
"31" 31 2721
"32" 32 999
"33" 33 415
"34" 34 1001
"35" 35 2953
"36" 36 2601
"37" 37 983
"38" 38 409
"39" 39 882
"40" 40 2889
"41" 41 2353
"42" 42 1053
"43" 43 468
"44" 44 983
"45" 45 2095
"46" 46 2045
"47" 47 852
"48" 48 408
"49" 49 895
"50" 50 3106
