"time" "cases"
"1" 1 1687
"2" 2 1595
"3" 3 1480
"4" 4 1272
"5" 5 1620
"6" 6 1543
"7" 7 1646
"8" 8 1444
"9" 9 1255
"10" 10 1398
"11" 11 1522
"12" 12 1707
"13" 13 1350
"14" 14 1540
"15" 15 1891
"16" 16 1567
"17" 17 1773
"18" 18 1277
"19" 19 1321
"20" 20 1365
"21" 21 1356
"22" 22 1395
"23" 23 1617
"24" 24 1527
"25" 25 1383
"26" 26 1322
"27" 27 1623
"28" 28 1482
"29" 29 1477
"30" 30 1392
"31" 31 1455
"32" 32 1624
"33" 33 1452
"34" 34 1282
"35" 35 1353
"36" 36 1394
"37" 37 1808
"38" 38 1719
"39" 39 1719
"40" 40 1441
"41" 41 1482
"42" 42 1569
"43" 43 1753
"44" 44 1634
"45" 45 1425
"46" 46 1536
"47" 47 1534
"48" 48 1383
"49" 49 1819
"50" 50 1604
