"time" "cases"
"1" 1 2312
"2" 2 1148
"3" 3 457
"4" 4 981
"5" 5 2001
"6" 6 2936
"7" 7 1097
"8" 8 624
"9" 9 848
"10" 10 2707
"11" 11 2215
"12" 12 889
"13" 13 408
"14" 14 834
"15" 15 2633
"16" 16 2145
"17" 17 1073
"18" 18 446
"19" 19 1036
"20" 20 2586
"21" 21 2392
"22" 22 1054
"23" 23 523
"24" 24 825
"25" 25 3204
"26" 26 2235
"27" 27 1017
"28" 28 535
"29" 29 959
"30" 30 2941
"31" 31 2115
"32" 32 978
"33" 33 384
"34" 34 1046
"35" 35 2918
"36" 36 2463
"37" 37 1009
"38" 38 458
"39" 39 985
"40" 40 2591
"41" 41 2377
"42" 42 1000
"43" 43 492
"44" 44 891
"45" 45 2522
"46" 46 2743
"47" 47 775
"48" 48 473
"49" 49 897
"50" 50 2430
