"time" "cases"
"1" 1 1372
"2" 2 1392
"3" 3 1439
"4" 4 1443
"5" 5 1532
"6" 6 1470
"7" 7 1460
"8" 8 1718
"9" 9 1596
"10" 10 1712
"11" 11 1344
"12" 12 1696
"13" 13 1766
"14" 14 1725
"15" 15 1474
"16" 16 1382
"17" 17 1488
"18" 18 1432
"19" 19 1701
"20" 20 1415
"21" 21 1646
"22" 22 1462
"23" 23 1486
"24" 24 1740
"25" 25 1392
"26" 26 1513
"27" 27 1459
"28" 28 1570
"29" 29 1444
"30" 30 1342
"31" 31 1252
"32" 32 1692
"33" 33 1421
"34" 34 1618
"35" 35 1476
"36" 36 1423
"37" 37 1124
"38" 38 1509
"39" 39 1798
"40" 40 1544
"41" 41 1162
"42" 42 1300
"43" 43 1690
"44" 44 1556
"45" 45 1424
"46" 46 1429
"47" 47 1451
"48" 48 1255
"49" 49 1460
"50" 50 1682
