"time" "cases"
"1" 1 2617
"2" 2 1158
"3" 3 447
"4" 4 1119
"5" 5 2733
"6" 6 2520
"7" 7 1135
"8" 8 424
"9" 9 1278
"10" 10 2405
"11" 11 2122
"12" 12 863
"13" 13 549
"14" 14 995
"15" 15 2840
"16" 16 2366
"17" 17 950
"18" 18 465
"19" 19 1252
"20" 20 2324
"21" 21 2274
"22" 22 1051
"23" 23 442
"24" 24 921
"25" 25 2612
"26" 26 2529
"27" 27 1063
"28" 28 486
"29" 29 1073
"30" 30 2445
"31" 31 2059
"32" 32 1028
"33" 33 406
"34" 34 1076
"35" 35 2451
"36" 36 2835
"37" 37 1065
"38" 38 460
"39" 39 842
"40" 40 2611
"41" 41 2205
"42" 42 1089
"43" 43 478
"44" 44 1069
"45" 45 2600
"46" 46 2130
"47" 47 772
"48" 48 449
"49" 49 874
"50" 50 2583
