"time" "cases"
"1" 1 1357
"2" 2 1603
"3" 3 1566
"4" 4 1598
"5" 5 1223
"6" 6 1559
"7" 7 1389
"8" 8 1347
"9" 9 1503
"10" 10 1319
"11" 11 1524
"12" 12 1669
"13" 13 1646
"14" 14 1841
"15" 15 1448
"16" 16 1331
"17" 17 1326
"18" 18 1514
"19" 19 1451
"20" 20 1444
"21" 21 1785
"22" 22 1601
"23" 23 1598
"24" 24 1356
"25" 25 1658
"26" 26 1428
"27" 27 1576
"28" 28 1438
"29" 29 1830
"30" 30 1511
"31" 31 1483
"32" 32 1786
"33" 33 1336
"34" 34 1539
"35" 35 1330
"36" 36 1351
"37" 37 1318
"38" 38 1470
"39" 39 1590
"40" 40 1323
"41" 41 1417
"42" 42 1450
"43" 43 1723
"44" 44 1423
"45" 45 1335
"46" 46 1900
"47" 47 1431
"48" 48 1423
"49" 49 1657
"50" 50 1407
