"time" "cases"
"1" 1 2416
"2" 2 1237
"3" 3 544
"4" 4 762
"5" 5 2861
"6" 6 2665
"7" 7 1024
"8" 8 499
"9" 9 819
"10" 10 2550
"11" 11 2464
"12" 12 936
"13" 13 619
"14" 14 936
"15" 15 2572
"16" 16 1884
"17" 17 924
"18" 18 472
"19" 19 1066
"20" 20 2690
"21" 21 2149
"22" 22 1055
"23" 23 576
"24" 24 958
"25" 25 3089
"26" 26 2511
"27" 27 989
"28" 28 476
"29" 29 1077
"30" 30 2626
"31" 31 2655
"32" 32 913
"33" 33 496
"34" 34 801
"35" 35 3281
"36" 36 1976
"37" 37 1078
"38" 38 446
"39" 39 1053
"40" 40 2538
"41" 41 2687
"42" 42 1171
"43" 43 545
"44" 44 1052
"45" 45 2881
"46" 46 2387
"47" 47 1071
"48" 48 557
"49" 49 975
"50" 50 3050
